surname,name, #  Games , Avg.  Game  Length  (Moves) , Avg.  Moves  in  King's  Direction , Avg.  Moves  around  King  (<=3  squares  away) , Avg.  Piece  moves  past  half , Avg.  Pawn  moves  past  half , #  Pieces  by  EOG , #  Pawns  by  EOG , King  Moves 
 Aravindh,Chithambaram  VR. ,6.0,71.0,49.5,30.333333333333332,17.0,3.5,0.0,0.0,15.333333333333334
 Erigaisi,Arjun ,6.0,49.0,24.166666666666668,19.5,11.166666666666666,3.5,0.0,0.0,6.0
 Fedoseev,Vl3 ,6.0,51.5,30.166666666666668,21.5,10.333333333333334,1.6666666666666667,0.0,0.0,7.0
 Gukesh,D ,6.0,52.333333333333336,28.0,22.833333333333332,14.5,3.6666666666666665,0.0,0.0,4.666666666666667
 Niemann,Hans  Moke ,6.0,45.0,20.833333333333332,18.833333333333332,10.333333333333334,4.333333333333333,0.0,0.0,5.5
 Van  Foreest,Jorden ,6.0,39.333333333333336,17.166666666666668,17.333333333333332,8.166666666666666,3.3333333333333335,0.0,0.0,3.8333333333333335
 Keymer,Vincent ,6.0,48.5,25.833333333333332,19.0,11.833333333333334,3.0,0.0,0.0,5.0
 Sindarov,Javokhir ,6.0,47.0,23.166666666666668,18.666666666666668,11.666666666666666,3.3333333333333335,0.0,0.0,5.0
 Abdusattorov,Nodirbek ,6.0,45.833333333333336,22.5,19.333333333333332,11.166666666666666,2.5,0.0,0.0,5.333333333333333
 Giri,A ,6.0,39.333333333333336,16.833333333333332,15.0,10.333333333333334,2.0,0.0,0.0,3.3333333333333335
 Erdogmus,Yagiz  Kaan ,6.0,39.166666666666664,19.333333333333332,16.833333333333332,10.5,1.5,0.0,0.0,2.5
 Praggnanandhaa,R ,6.0,50.666666666666664,27.666666666666668,18.833333333333332,13.833333333333334,5.0,0.0,0.0,6.833333333333333
 Bluebaum,M ,6.0,40.666666666666664,20.5,17.5,8.5,3.1666666666666665,0.0,0.0,4.0
 Nguyen,Thai  Dai  Van ,6.0,61.333333333333336,36.333333333333336,25.166666666666668,10.333333333333334,4.166666666666667,0.0,0.0,10.0
 Yip,Carissa ,6.0,57.333333333333336,32.333333333333336,20.833333333333332,15.666666666666666,4.166666666666667,0.0,0.0,8.5
 Suleymanli,Aydin ,8.0,34.875,14.875,14.0,6.5,3.25,0.0,0.0,2.25
 Oro,Faustino ,6.0,46.166666666666664,23.833333333333332,18.666666666666668,7.833333333333333,3.0,0.0,0.0,6.166666666666667
 Woodward,Andy ,6.0,39.5,19.0,16.5,9.5,2.1666666666666665,0.0,0.0,3.1666666666666665
 Ivic,Velimir ,6.0,61.5,39.166666666666664,22.333333333333332,11.0,5.666666666666667,0.0,0.0,13.166666666666666
 Roebers,Eline ,6.0,53.333333333333336,31.333333333333332,20.333333333333332,11.0,2.6666666666666665,0.0,0.0,7.0
 Ivanchuk,V ,6.0,50.833333333333336,26.166666666666668,20.666666666666668,13.166666666666666,4.666666666666667,0.0,0.0,6.666666666666667
 Warmerdam,Max ,6.0,71.33333333333333,42.5,28.833333333333332,23.166666666666668,3.6666666666666665,0.0,0.0,14.666666666666666
 Yuffa,D ,6.0,59.166666666666664,37.333333333333336,25.333333333333332,14.666666666666666,5.0,0.0,0.0,9.833333333333334
 Panesar,Vedant ,6.0,76.33333333333333,47.833333333333336,29.666666666666668,20.166666666666668,4.166666666666667,0.0,0.0,15.0
 L'Ami,E ,6.0,43.666666666666664,20.0,17.666666666666668,9.5,3.0,0.0,0.0,4.5
 Assaubayeva,Bibisara ,6.0,52.0,24.833333333333332,20.666666666666668,7.333333333333333,4.833333333333333,0.0,0.0,6.666666666666667
 Maurizzi,MarcAndria ,6.0,38.333333333333336,20.5,16.333333333333332,6.833333333333333,3.5,0.0,0.0,5.333333333333333
 Lu,Miaoyi ,6.0,49.833333333333336,26.833333333333332,20.0,12.833333333333334,2.8333333333333335,0.0,0.0,7.833333333333333
 Hrbek,Stepan ,5.0,53.8,32.0,20.0,10.6,4.4,0.0,0.0,7.8
 Van  Foreest,Machteld ,5.0,47.8,19.8,17.8,13.0,4.0,0.0,0.0,3.6
 Lohia,Sohum ,5.0,49.2,29.0,20.0,11.4,3.8,0.0,0.0,6.6
 Gloeckler,Christian ,5.0,55.4,34.2,23.0,12.2,5.0,0.0,0.0,8.6
 Tudor,Henry  Edward ,5.0,40.0,21.0,16.8,10.0,2.6,0.0,0.0,4.4
 Elgersma,Onno ,5.0,41.2,19.2,17.2,10.4,3.2,0.0,0.0,1.8
 Beukema,S ,5.0,34.0,16.0,13.8,6.2,1.6,0.0,0.0,2.2
 Baselmans,Luuk ,5.0,50.2,30.8,20.2,10.0,3.8,0.0,0.0,8.2
 Carow,J ,5.0,28.4,8.8,11.8,4.2,2.4,0.0,0.0,1.2
 Grutter,Tim ,5.0,40.8,21.8,16.4,6.0,3.2,0.0,0.0,4.4
 Moczulski,Michal ,10.0,31.8,16.5,14.3,5.3,3.1,0.0,0.0,1.4
 Huchwajda,Grzegorz ,4.0,26.0,10.0,11.25,4.75,3.25,0.0,0.0,3.0
 Makhynia,Kostiantyn ,10.0,45.3,22.9,17.4,10.0,4.5,0.0,0.0,5.4
 Dabkowska,Michalina ,7.0,46.714285714285715,23.428571428571427,17.285714285714285,12.714285714285714,4.428571428571429,0.0,0.0,7.428571428571429
 Pawlak,Grzegorz ,4.0,55.25,35.25,24.25,8.0,2.0,0.0,0.0,7.75
